title,odds_name,team_time,apperance
Over/Under away team,Under  1.5,80,2
Over/Under home team,Under  2.5,80,2
Correct Score,2 - 1,80,2
Double Chance,12 ,80,2
Double Chance,1X ,79,2
Over/Under,Under  3.5,79,2
Over/Under,Over  3.5,79,2
Over/Under,Under  3.75,79,2
Over/Under,Over  3.75,79,2
Over/Under,Under  4.5,79,2
Over/Under,Under  4,79,2
Over/Under,Under  4.25,79,2
Asian Handicap,Liverpool Montevideo Reserve  1.75,79,2
Asian Handicap,Montevideo Wanderers Reserves  -0.25,79,2
Asian Handicap,Liverpool Montevideo Reserve  1.5,79,2
Asian Handicap,Liverpool Montevideo Reserve  1,79,2
Asian Handicap,Montevideo Wanderers Reserves  -1,79,2
Asian Handicap,Montevideo Wanderers Reserves  -0.75,79,2
Asian Handicap,Liverpool Montevideo Reserve  1.25,79,2
Match Odds,Montevideo Wanderers Reserves,79,2
Next Goal,X,79,2
Three-way handicap,Draw,79,2
Odd/Even,Even,79,2
Odd/Even,Odd,79,2
